original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
"Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]
             [-k [-i] [-SIGNAL]] NAME...
       fuser -l
       fuser -V
Show which processes use the named files, sockets, or filesystems.

  -a,--all              display unused files too
  -i,--interactive      ask before killing (ignored without -k)
  -I,--inode            use always inodes to compare files
  -k,--kill             kill processes accessing the named file
  -l,--list-signals     list available signal names
  -m,--mount            show all processes using the named filesystems or
                        block device
  -M,--ismountpoint     fulfill request only if NAME is a mount point
  -n,--namespace SPACE  search in this name space (file, udp, or tcp)
  -s,--silent           silent operation
  -SIGNAL               send this signal instead of SIGKILL
  -u,--user             display user IDs
  -v,--verbose          verbose output
  -w,--writeonly        kill only processes with write access
  -V,--version          display version information
","Utilize o fuser para identificar processos que utilizam um determinado arquivo, socket ou sistema de arquivos. Para visualizar todos os arquivos não utilizados também.","Uso:   fuser [-fMuv] [-a|-s] [-4|-6] [-c|-m|-n ESPAÇO]
             [-k [-i] [-SINAL]] NOME...
       fuser -l
       fuser -V
Mostra quais processos usam os arquivos, sockets ou sistema de arquivos especificados.

  -a,--all              exibe também arquivos sem uso
  -i,--interactive      pergunta antes de matar (ignorado sem -k)
  -k,--kill             mata processos acessando o arquivo especificado
  -l,--list-signals     lista os nomes de sinal disponíveis
  -m,--mount            mostra todos processos usando o sistema de arquivos
                        ou dispositivo de bloco especificado
  -M,--ismountpoint     realiza solicitação apenas se NOME for um ponto
                        de montagem
  -n,--namespace ESPAÇO pesquisa neste espaço de nome (file, udp ou tcp)
  -s,--silent           operação silenciosa
  -SINAL                envia este sinal em vez de SIGKILL
  -u,--user             exibe IDs de usuário
  -v,--verbose          saída detalhada
  -w,--writeonly        mata apenas processos com acesso de gravação
  -V,--version          exibe informações de versão
","DE,ID",LLAMA,44.87224519252777,10.966435528473333,0.04567497703502256,95.9349593495935,64.25065994262695
"  -4,--ipv4             search IPv4 sockets only
  -6,--ipv6             search IPv6 sockets only
","[{'key': '-4', 'value': 'chave -4, valor IPv4'}, {'key': ',', 'value': ','}, {'key': '--ipv4', 'value': 'opção --IPv4 para pesquisa de soquetes IPv4-only'}, {'key': '             chỉ tìm kiếm ổ cắm kiểu IPv4', 'value': 'somente procurar por endereços do tipo IPv4 (IPv4 sockets)'}, {'key': '\n', 'value': '\n'}, {'key': '-6', 'value': 'chave -6, valor IPv6'}, {'key': ',', 'value': ','}, {'keyin': '--ipv6', 'value': 'opção --IPv6 para pesquisa de soquetes IPv6-only'}, {'keyin': '\n', 'value': '\n'}]","  -4,--ipv4             pesquisa apenas sockets IPv4
  -6,--ipv6             pesquisa apenas sockets IPv6
","DE,ID",LLAMA,51.36638283729553,21.421168547236967,0.8303593608560077,100.0,64.58032131195068
"  udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]

","Các tên udp/tcp: [cổng_cục_bộ][,[máy_chủ][,[cổng_máy_chủ]]]","  -                     redefine opções

  nomes udp/tcp: [porta_local][,[maq_rmt][,[porta_rmt]]]

","DE,ID",LLAMA,68.47146153450012,22.240204632283213,31.351726500517874,83.33333333333334,84.77283716201782
"fuser (PSmisc) %s
",fuser (PSmisc) %s,"fuser (PSmisc) %s
","DE,ID",LLAMA,97.82289266586304,100.0,100.00000000000004,0.0,100.0
"Copyright (C) 1993-2024 Werner Almesberger and Craig Small

",Privilégio de propriedade (C) 1993-2024 Werner Almesberger e Craig Small,"Copyright (C) 1993-2020 Werner Almesberger and Craig Small

","DE,ID",LLAMA,68.30772757530212,59.297541801636186,34.078064670813475,62.5,87.99712657928467
"PSmisc comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under
the terms of the GNU General Public License.
For more information about these matters, see the files named COPYING.
","PSmisc NÃO OFERECE ANY WARRANTIES. Esta é software livre e você pode distribuí-lo sob as condições da GNU General Public License (GPL). Para obter mais informações, consulte o arquivo COPYING.","PSmisc vem com ABSOLUTAMENTE NENHUMA GARANTIA.
Este é um software livre, e você é bem-vindo em redistribuí-lo dentro
dos termos da Licença Pública Geral GNU (GPL).
Para mais informações a respeito, veja os arquivos com o nome COPYING.
","DE,ID",LLAMA,82.39384293556213,39.294693628827574,12.57197003670031,73.68421052631578,83.14132690429688
"Cannot open /proc directory: %s
","Não é possível abrir o diretório /proc: %s
","Não foi possível abrir o diretório /proc: %s
","DE,ID",LLAMA,94.89278197288513,85.72148431768495,80.70557274927978,12.5,98.9594578742981
"Cannot allocate memory for matched proc: %s
",Não é possível alocar mais memória para o processo associado a este socket: %s,"Não foi possível alocar memória ao proc equiparado: %s
","DE,ID",LLAMA,76.62168145179749,51.93880777301594,12.451643194233869,100.0,86.43375039100647
"Specified filename %s does not exist.
",O nome do arquivo %s não existe.,"O nome de arquivo especificado %s não existe.
","DE,ID",LLAMA,94.86939907073975,59.24064445413596,47.49549533009781,25.0,92.81150698661804
"Cannot stat %s: %s
",Não é possível obter informações sobre o status de %s: %s,"Não foi possível analisar %s: %s
","DE,ID",LLAMA,83.10585021972656,39.74082776848128,28.917849332325716,100.0,87.84518241882324
