original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
"Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]
             [-k [-i] [-SIGNAL]] NAME...
       fuser -l
       fuser -V
Show which processes use the named files, sockets, or filesystems.

  -a,--all              display unused files too
  -i,--interactive      ask before killing (ignored without -k)
  -I,--inode            use always inodes to compare files
  -k,--kill             kill processes accessing the named file
  -l,--list-signals     list available signal names
  -m,--mount            show all processes using the named filesystems or
                        block device
  -M,--ismountpoint     fulfill request only if NAME is a mount point
  -n,--namespace SPACE  search in this name space (file, udp, or tcp)
  -s,--silent           silent operation
  -SIGNAL               send this signal instead of SIGKILL
  -u,--user             display user IDs
  -v,--verbose          verbose output
  -w,--writeonly        kill only processes with write access
  -V,--version          display version information
","Aufruf: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n ESPACIO] \
                        [-k [-i] [-SIGNAL]] NOM...
       fuser -l
       fuser -V","Uso:   fuser [-fMuv] [-a|-s] [-4|-6] [-c|-m|-n ESPAÇO]
             [-k [-i] [-SINAL]] NOME...
       fuser -l
       fuser -V
Mostra quais processos usam os arquivos, sockets ou sistema de arquivos especificados.

  -a,--all              exibe também arquivos sem uso
  -i,--interactive      pergunta antes de matar (ignorado sem -k)
  -k,--kill             mata processos acessando o arquivo especificado
  -l,--list-signals     lista os nomes de sinal disponíveis
  -m,--mount            mostra todos processos usando o sistema de arquivos
                        ou dispositivo de bloco especificado
  -M,--ismountpoint     realiza solicitação apenas se NOME for um ponto
                        de montagem
  -n,--namespace ESPAÇO pesquisa neste espaço de nome (file, udp ou tcp)
  -s,--silent           operação silenciosa
  -SINAL                envia este sinal em vez de SIGKILL
  -u,--user             exibe IDs de usuário
  -v,--verbose          saída detalhada
  -w,--writeonly        mata apenas processos com acesso de gravação
  -V,--version          exibe informações de versão
","FR,DE",LLAMA,47.788724303245544,11.468853664788208,2.5359386626834586,97.5609756097561,70.30357122421265
"  -4,--ipv4             search IPv4 sockets only
  -6,--ipv6             search IPv6 sockets only
","[{'key': '-4', 'value': 'chave -4'}, {'description': 'cherche des sockets IPv4 seulement', 'value': 'procura apenas soquetes IPv4'}]","  -4,--ipv4             pesquisa apenas sockets IPv4
  -6,--ipv6             pesquisa apenas sockets IPv6
","FR,DE",LLAMA,49.80055391788483,27.06201667183886,3.235912122544166,100.0,63.68727087974548
"  udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]

",CÁLCULO DE TRANLATORAÇÃO NECESITADA PARA O IDIOMA BRASILEIRO (PT-BR) DOS TEXTO FORMULAS FORNECIDAS,"  -                     redefine opções

  nomes udp/tcp: [porta_local][,[maq_rmt][,[porta_rmt]]]

","FR,DE",LLAMA,32.53628611564636,0.1765536723163842,0.0,100.0,54.541558027267456
"fuser (PSmisc) %s
","fuser (PSmisc) %s
","fuser (PSmisc) %s
","FR,DE",LLAMA,97.82291650772095,100.0,100.00000000000004,0.0,100.0
"Copyright (C) 1993-2024 Werner Almesberger and Craig Small

","Técnica de localização eficiente para o GNU/Linux, por Werner Almesberger et Craig Small (2019)","Copyright (C) 1993-2020 Werner Almesberger and Craig Small

","FR,DE",LLAMA,57.71031975746155,42.46037436267707,6.336859268415405,100.0,73.26261401176453
"PSmisc comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under
the terms of the GNU General Public License.
For more information about these matters, see the files named COPYING.
","PSmisc NÃO ESTÁ COVERTIDO POR ANY GUARANTEE. Este é um software livre, e você pode redistribuí-lo em respeito aos termos da Licença GNU General Public License (GPL). Para mais informações sobre isso, consulte o arquivo COPYING.","PSmisc vem com ABSOLUTAMENTE NENHUMA GARANTIA.
Este é um software livre, e você é bem-vindo em redistribuí-lo dentro
dos termos da Licença Pública Geral GNU (GPL).
Para mais informações a respeito, veja os arquivos com o nome COPYING.
","FR,DE",LLAMA,82.17887282371521,54.53850821275103,36.29087457519107,57.89473684210527,85.95085144042969
"Cannot open /proc directory: %s
",Não é possível abrir o diretório /proc: %s,"Não foi possível abrir o diretório /proc: %s
","FR,DE",LLAMA,94.89278197288513,85.72148431768495,80.70557274927978,12.5,98.9594578742981
"Cannot allocate memory for matched proc: %s
",Não é possível alocar memória para o processo associado: %s,"Não foi possível alocar memória ao proc equiparado: %s
","FR,DE",LLAMA,85.98886132240295,61.93456966127108,22.03359678996931,55.55555555555556,91.46991968154907
"Specified filename %s does not exist.
",O nome do arquivo %s não existe.,"O nome de arquivo especificado %s não existe.
","FR,DE",LLAMA,94.86939907073975,59.24064445413596,47.49549533009781,25.0,92.81151294708252
"Cannot stat %s: %s
",Não é possível obter as estatísticas de %s: %s,"Não foi possível analisar %s: %s
","FR,DE",LLAMA,86.21994256973267,41.232718097873686,34.48444257953326,83.33333333333334,89.91409540176392
